"filename", "language", "JSON", "Markdown", "CSS", "HTML", "JavaScript", "XML", "JavaScript JSX", "comment", "blank", "total"
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\checkout\CheckoutItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 6, 75
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\checkout\CheckoutSuccess.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 7, 39
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\checkout\OrderSummary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 8, 95
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\checkout\ShippingDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 4, 67
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\common\Loading.css", "CSS", 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\common\Loading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\common\SmallTimer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 7, 44
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\common\Timer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 7, 44
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\EditProfileModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 236, 3, 15, 254
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\EditProfilePicture.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 4, 66
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\MyProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\MyProfileInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 10, 99
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\ProfileTabs\BooksTab\Book.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 8, 125
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\ProfileTabs\BooksTab\BooksTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 9, 34
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\ProfileTabs\ProfileTabs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 5, 34
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\ProfileTabs\ReviewsTab\Review.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 9, 86
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\ProfileTabs\ReviewsTab\Reviews.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 7, 43
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\ProfileTabs\WalletTab\CashoutWalletModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 73, 1, 10, 84
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\ProfileTabs\WalletTab\LoadWalletModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 10, 73
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\ProfileTabs\WalletTab\WalletTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 12, 122
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\myProfile\ProfileTabs\WalletTab\WalletTransactions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 6, 62
"d:\Projects\College Projects\Book Trading\book-trading-react\src\components\stripe\Onboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 10, 48
"d:\Projects\College Projects\Book Trading\book-trading-react\src\context\socket.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"d:\Projects\College Projects\Book Trading\book-trading-react\src\features\auction\auctionSlice.js", "JavaScript", 0, 0, 0, 0, 137, 0, 0, 8, 13, 158
"d:\Projects\College Projects\Book Trading\book-trading-react\src\features\book\bookSlice.js", "JavaScript", 0, 0, 0, 0, 144, 0, 0, 8, 12, 164
"d:\Projects\College Projects\Book Trading\book-trading-react\src\features\book\booksSlice.js", "JavaScript", 0, 0, 0, 0, 138, 0, 0, 8, 12, 158
